species,site_id,year,doy,phenophase
vaccinium corymbosum,1,1991,100,371
vaccinium corymbosum,1,1991,100,371
vaccinium corymbosum,1,1991,104,371
vaccinium corymbosum,1,1998,106,371
vaccinium corymbosum,1,1998,106,371
vaccinium corymbosum,1,1998,106,371
vaccinium corymbosum,1,1998,106,371
vaccinium corymbosum,1,1991,108,371
vaccinium corymbosum,1,1996,114,371
vaccinium corymbosum,1,1990,116,371
vaccinium corymbosum,1,1990,113,371
vaccinium corymbosum,1,1990,116,371
vaccinium corymbosum,1,1990,116,371
vaccinium corymbosum,1,1993,116,371
vaccinium corymbosum,1,1993,116,371
vaccinium corymbosum,1,1993,116,371
vaccinium corymbosum,1,1993,120,371
vaccinium corymbosum,1,1992,120,371
vaccinium corymbosum,1,1996,119,371
vaccinium corymbosum,1,1996,119,371
vaccinium corymbosum,1,1996,119,371
vaccinium corymbosum,1,2000,119,371
vaccinium corymbosum,1,2000,119,371
vaccinium corymbosum,1,2000,119,371
vaccinium corymbosum,1,2001,120,371
vaccinium corymbosum,1,2001,120,371
vaccinium corymbosum,1,2001,120,371
vaccinium corymbosum,1,1995,120,371
vaccinium corymbosum,1,1999,120,371
vaccinium corymbosum,1,1999,120,371
vaccinium corymbosum,1,1999,120,371
vaccinium corymbosum,1,1999,120,371
vaccinium corymbosum,1,1994,121,371
vaccinium corymbosum,1,1994,121,371
vaccinium corymbosum,1,1994,121,371
vaccinium corymbosum,1,1994,121,371
vaccinium corymbosum,1,1997,122,371
vaccinium corymbosum,1,1997,122,371
vaccinium corymbosum,1,1997,122,371
vaccinium corymbosum,1,1997,122,371
vaccinium corymbosum,1,2001,124,371
vaccinium corymbosum,1,2000,124,371
vaccinium corymbosum,1,1995,126,371
vaccinium corymbosum,1,1995,126,371
vaccinium corymbosum,1,1995,126,371
vaccinium corymbosum,1,1992,127,371
vaccinium corymbosum,1,1992,130,371
vaccinium corymbosum,1,1992,130,371
vaccinium corymbosum,1,1998,122,501
vaccinium corymbosum,1,1998,122,501
vaccinium corymbosum,1,1991,124,501
vaccinium corymbosum,1,1991,124,501
vaccinium corymbosum,1,1998,126,501
vaccinium corymbosum,1,2000,128,501
vaccinium corymbosum,1,2000,128,501
vaccinium corymbosum,1,1991,128,501
vaccinium corymbosum,1,2001,128,501
vaccinium corymbosum,1,2001,128,501
vaccinium corymbosum,1,1990,129,501
vaccinium corymbosum,1,1990,129,501
vaccinium corymbosum,1,1999,129,501
vaccinium corymbosum,1,1999,129,501
vaccinium corymbosum,1,1993,130,501
vaccinium corymbosum,1,1993,130,501
vaccinium corymbosum,1,1993,130,501
vaccinium corymbosum,1,2000,130,501
vaccinium corymbosum,1,1991,132,501
vaccinium corymbosum,1,1998,131,501
vaccinium corymbosum,1,1999,132,501
vaccinium corymbosum,1,1993,134,501
vaccinium corymbosum,1,2000,134,501
vaccinium corymbosum,1,2001,134,501
vaccinium corymbosum,1,2001,134,501
vaccinium corymbosum,1,1990,136,501
vaccinium corymbosum,1,1990,136,501
vaccinium corymbosum,1,1994,134,501
vaccinium corymbosum,1,1994,134,501
vaccinium corymbosum,1,1992,138,501
vaccinium corymbosum,1,1992,138,501
vaccinium corymbosum,1,1997,138,501
vaccinium corymbosum,1,1999,138,501
vaccinium corymbosum,1,1992,141,501
vaccinium corymbosum,1,1992,141,501
vaccinium corymbosum,1,1995,139,501
vaccinium corymbosum,1,1995,139,501
vaccinium corymbosum,1,1995,139,501
vaccinium corymbosum,1,1995,139,501
vaccinium corymbosum,1,1994,141,501
vaccinium corymbosum,1,1994,141,501
vaccinium corymbosum,1,1996,140,501
vaccinium corymbosum,1,1996,140,501
vaccinium corymbosum,1,1996,140,501
vaccinium corymbosum,1,1996,140,501
vaccinium corymbosum,1,1997,144,501
vaccinium corymbosum,1,1997,144,501
vaccinium corymbosum,1,1997,144,501
